,product_name,Ram,New_back_camera,battery,Internal_storage,display,rating,no_of_ratings,no_of_reviews,price
298,"Samsung Galaxy S8 Plus (Orchid Grey, 64 GB)",4,12,3500,64,6.2,4.6,1995,341,53990
299,"Samsung Galaxy S8 Plus (Maple Gold, 64 GB)",4,12,3500,64,6.2,4.6,1995,341,53990
300,Jmax M43 Combo of two,32,1,1050,32,1.8,4.1,10,0,1149
301,"Samsung Galaxy Note 9 (Alpine White, 128 GB)",6,12,4000,128,6.4,4.6,2084,273,73600
302,"Alcatel 3V (Spectrum Blue, 32 GB)",3,16,3000,32,6,3.6,1983,356,10999
303,"Mi 10 (Coral Green, 256 GB)",8,108,4780,256,6.67,4.8,13,0,51990
304,"Vivo V5 (Crown gold, 32 GB)",4,13,3000,32,5.5,4.3,7662,1292,17980
305,"Lenovo K3 Note (Yellow, 16 GB)",2,13,2900,16,5.5,4.0,219060,24539,9999
306,Jivi N3,32,1,1450,32,2.4,4.0,147,21,949
307,"Gionee A1 (Black, 64 GB)",4,13,4010,64,5.5,4.0,5781,1029,21499
308,Micromax X811,32,0,1000,32,2.8,3.8,612,61,1450
309,JIVI JFP R21,10,1,1000,512,1.8,3.4,76,15,799
310,Kechaoda A32,32,0,,32,1.44,3.9,20,3,930
311,"OPPO A1K (Black, 32 GB)",2,8,4000,32,6.1,4.4,5381,315,7490
312,"XOLO T1000 (Black, 4 GB)",1,8,2000,4,4.7,3.8,330,131,14153
313,"Samsung Galaxy S8 Plus (Coral Blue, 64 GB)",4,12,3500,64,6.2,4.6,1995,341,53990
314,Micromax X516,32,0,1750,32,1.77,3.9,3483,377,1250
315,"Samsung Galaxy Note 10 Plus (Aura Black, 256 GB)",12,12,4300,256,6.8,4.6,684,150,85000
316,"HTC U11 (Solar Red, 128 GB)",6,12,3000,128,5.5,4.6,386,125,53990
317,"Gionee Marathon M5 Plus (Champagne Gold, 64 GB)",3,13,5020,64,6,4.1,216,27,26999
318,Micromax X749,32,0,1750,32,2.4,4.2,217,31,1599
319,Micromax X412,32,1,,32,1.77,3.9,6144,528,999
320,"HTC Desire 826 (Blue Lagoon, 16 GB)",2,13,2600,16,5.5,3.7,2761,456,27990
321,"Redmi Note 8 (Cosmic Purple, 128 GB)",6,48,4000,128,6.3,4.4,10578,831,15400
322,Nokia 150/150 DS,4,0,1020,4,2.4,4.2,31449,3102,1500
